Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"Lake Avenue Nutrition, Astaxanthin, 10 mg, 120 Veggie Softgels",42.0,2231.0,0.01,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Coral Calcium, 1,000 mg, 100 Veg Capsules",16.61,383.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, E-400, 268 mg , 250 Softgels",36.94,1325.0,0.268,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, Lutein with Lutemax 2020, 20 mg, 60 Softgels",17.43,5390.0,0.02,supplements,4.6,0,0,0,0,0,0,1
"Solaray, Pumpkin Seed Oil, 1,000 mg, 90 Softgels ",14.48,282.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Carlson Labs, Elite EPA Gems, 1,000 mg, 120 Soft Gels",86.99,97.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)",14.15,4171.0,238.0,supplements,4.8,0,0,0,0,0,0,1
"Naturade, Total Soy, Weight Loss Shake, Chocolate, 1.2 lbs (540 g)",26.82,8775.0,540.0,supplements,4.4,0,0,0,0,0,0,1
"Kaged Muscle, MicroPure Whey Protein Isolate, Chocolate, 3 lbs (1.36 kg)",69.98,29.0,1360.0,supplements,4.2,0,0,0,0,0,0,1
"Lake Avenue Nutrition, Bee Propolis, 5:1 Extract, Equivalent to 1,000 mg, 90 Capsules",9.33,4943.0,0.0,supplements,4.6,0,0,0,0,0,0,1
"Nature's Bounty, Vitamin C, 500 mg, 250 Tablets",18.62,411.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, L-OptiZinc, 30 mg, 100 Veg Capsules",9.22,1732.0,0.03,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Saw Palmetto Berries, 550 mg, 250 Veg Capsules",23.09,2734.0,0.55,supplements,4.5,0,0,0,0,0,0,1
"Nature's Bounty, Gentle Iron, 28 mg, 90 Capsules",11.09,3224.0,0.027999999999999997,supplements,4.7,0,0,0,0,0,0,1
"Solgar, Naturally Sourced Vitamin E, 67 mg (100 IU), 100 Softgels",10.56,3401.0,0.067,supplements,4.8,0,0,0,0,0,0,1
"Natrol, Cranberry, Fast Dissolve, Cranberry Flavor, 250 mg, 120 Tablets",13.98,302.0,0.25,supplements,4.5,0,0,0,0,0,0,1
"Source Naturals, Coenzyme Q10, 100 mg, 60 Capsules",18.96,550.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Garden of Life, Organic, Dr. Formulated Probiotics Fitbiotic, Unflavored, 20 Packets, 0.15 oz (4.2 g) Each",53.6,91.0,4.2,supplements,4.4,0,0,0,0,0,0,1
"Natrol, Alpha Lipoic Acid, Time Release, 600 mg, 45 Tablets",18.65,870.0,0.6,supplements,4.3,0,0,0,0,0,0,1
"Ener-C, Vitamin C, Multivitamin Drink Mix, Raspberry, 30 Packets, 9.8 oz (278.4 g)",20.04,324.0,278.4,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Magnesium Glycinate, 100 mg, 120 VegCaps",18.42,9741.0,0.1,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, E-1000 with Mixed Tocopherols, 670 mg (1,000 IU), 100 Softgels",40.63,171.0,0.67,supplements,4.7,0,0,0,0,0,0,1
"Natural Factors, CranRich, Super Strength, Cranberry Concentrate, 500 mg, 90 Capsules",13.1,5815.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Chitosan, 500 mg, 240 Veg Capsules",33.24,3449.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Nordic Naturals, Ultimate Omega, Lemon, 1,280 mg, 120 Soft Gels",66.05,5420.0,0.28,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, 100% Whey Protein Isolate, Dark Chocolate, 2 lbs (907 g)",38.89,4667.0,907.0,supplements,4.5,0,0,0,0,0,0,1
"Xtend, The Original 7G BCAA, Mango Madness, 14.8 oz (420 g)",38.87,3635.0,420.0,supplements,4.6,0,0,0,0,0,0,1
"Natural Factors, Magnesium Citrate, 150 mg, 180 Capsules",16.76,9374.0,0.15,supplements,4.8,0,0,0,0,0,0,1
"Carlson Labs, Kid's Norwegian, The Very Finest Fish Oil, Natural Orange Flavor, 800 mg, 6.7 fl oz (200 ml)",32.98,5672.0,0.8,supplements,4.9,0,0,0,0,0,0,1
"Natrol, Melatonin, Extra Strength, 5 mg, 60 Tablets",12.43,2081.0,0.005,supplements,4.4,0,0,0,0,0,0,1
"Now Foods, Double Strength L-Theanine, 200 mg, 120 Veg Capsules",33.98,1816.0,0.2,supplements,4.6,0,0,0,0,0,0,1
"Natrol, Melatonin, Fast Dissolve, Extra Strength, Strawberry, 5 mg, 150 Tablets",20.21,1800.0,0.005,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, CoQ10 100 mg, PQQ 20 mg, 60 Veggie Caps",52.89,1718.0,0.1,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Magnesium Malate, 1,000 mg, 180 Tablets",18.46,2021.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, 5-HTP, 100 mg, 60 Veg Capsules",15.7,11973.0,0.1,supplements,4.6,0,0,0,0,0,0,1
"Neocell, Super Collagen Peptides, Unflavored, 7 oz (200 g)",23.12,7325.0,200.0,supplements,4.4,0,0,0,0,0,0,1
"Jarrow Formulas, Inositol, 750 mg, 100 Veggie Caps",19.34,4219.0,0.75,supplements,4.8,0,0,0,0,0,0,1
"American Health, Ester-C, 500 mg, 90 Vegetarian Tablets",15.93,7677.0,0.5,supplements,4.9,0,0,0,0,0,0,1
"Now Foods, Maca, Raw, 750 mg, 90 Veg Capsules",16.93,6962.0,0.75,supplements,4.4,0,0,0,0,0,0,1
